Country,Sex,Year,Age_group,Mean_height,Mean_height_lower_95%CI,Mean_height_upper_95%CI,Mean_height_standard_error
China,Boys,1985,5,104.9475105,104.0137277,105.8681737,0.477831652
China,Boys,1985,6,110.8984852,110.0678387,111.7369795,0.431801013
China,Boys,1985,7,116.4925309,115.6822105,117.3101385,0.419151617
China,Boys,1985,8,121.8601665,121.0441771,122.6735517,0.416283015
China,Boys,1985,9,127.1119414,126.2813236,127.9162069,0.416503851
China,Boys,1985,10,132.3484275,131.5253612,133.1534571,0.418719128
China,Boys,1985,11,137.7576616,136.9194517,138.56901,0.422255762
China,Boys,1985,12,143.8406233,142.9702504,144.6609676,0.42972778
China,Boys,1985,13,150.7854524,149.9141749,151.6232737,0.433402525
China,Boys,1985,14,157.1664504,156.3027723,158.0013394,0.434711875
China,Boys,1985,15,161.5531136,160.7069636,162.3986248,0.434348718
China,Boys,1985,16,164.1111844,163.2501598,164.9661035,0.437450161
China,Boys,1985,17,165.444934,164.5723581,166.3285716,0.446163895
China,Boys,1985,18,166.3418442,165.4463162,167.2344107,0.453979161
China,Boys,1985,19,167.6281337,166.6996463,168.5344592,0.479678813
China,Boys,1986,5,105.2325823,104.3265667,106.1267278,0.466190456
China,Boys,1986,6,111.1704751,110.3559789,111.9883623,0.420863528
China,Boys,1986,7,116.7549824,115.9658702,117.5518241,0.406433023
China,Boys,1986,8,122.0954955,121.30624,122.8830717,0.403425359
China,Boys,1986,9,127.3225333,126.5301408,128.1238004,0.402296288
China,Boys,1986,10,132.5466452,131.7420198,133.3179327,0.401375541
China,Boys,1986,11,137.9445363,137.1464734,138.7148101,0.40377611
China,Boys,1986,12,144.0087748,143.181436,144.8093114,0.410506868
China,Boys,1986,13,150.9165719,150.07406,151.7182893,0.418321315
China,Boys,1986,14,157.2564606,156.4105094,158.0667787,0.42299148
China,Boys,1986,15,161.6033429,160.7697805,162.4240343,0.425013461
China,Boys,1986,16,164.1287244,163.2915565,164.9717368,0.427825306
China,Boys,1986,17,165.4419434,164.5991255,166.279343,0.430878025
China,Boys,1986,18,166.319646,165.4861263,167.1561436,0.423678836
China,Boys,1986,19,167.5924079,166.7595847,168.4041763,0.422978253
China,Boys,1987,5,105.5174656,104.6327083,106.4052947,0.450973143
China,Boys,1987,6,111.455547,110.6618788,112.2426291,0.407922541
China,Boys,1987,7,117.0269723,116.2672588,117.7897587,0.394974697
China,Boys,1987,8,122.3579469,121.6010911,123.1164184,0.390789577
China,Boys,1987,9,127.5578622,126.7975576,128.3176924,0.3896041
China,Boys,1987,10,132.7572372,131.9867802,133.5125243,0.387170406
China,Boys,1987,11,138.142754,137.3691469,138.8755248,0.386542912
China,Boys,1987,12,144.1956495,143.4121616,144.9535123,0.392262354
China,Boys,1987,13,151.0847234,150.2887572,151.8547998,0.399291552
China,Boys,1987,14,157.38758,156.5817471,158.1674194,0.407849552
China,Boys,1987,15,161.693353,160.8668478,162.4914208,0.413504055
China,Boys,1987,16,164.1789536,163.3552402,164.9957272,0.418627739
China,Boys,1987,17,165.4594834,164.6253671,166.2624274,0.421293829
China,Boys,1987,18,166.3166554,165.5094561,167.1054036,0.408842552
China,Boys,1987,19,167.5702097,166.8012643,168.3207946,0.395006364
China,Boys,1988,5,105.7844948,104.9229961,106.6403196,0.435360146
China,Boys,1988,6,111.7404302,110.9705529,112.5023941,0.391598169
China,Boys,1988,7,117.3120441,116.5830836,118.054406,0.38153793
China,Boys,1988,8,122.6299368,121.9063192,123.3641266,0.379139545
China,Boys,1988,9,127.8203137,127.0881973,128.5549352,0.377157713
China,Boys,1988,10,132.9925661,132.2567915,133.7218824,0.374670517
China,Boys,1988,11,138.3533459,137.6142881,139.0633494,0.372549517
China,Boys,1988,12,144.3938672,143.6435415,145.1074449,0.375363701
China,Boys,1988,13,151.2715981,150.5124291,152.0052801,0.381081244
China,Boys,1988,14,157.5557315,156.786606,158.3019886,0.388755222
China,Boys,1988,15,161.8244724,161.0410379,162.5928018,0.398085749
China,Boys,1988,16,164.2689637,163.4673061,165.0555553,0.407285066
China,Boys,1988,17,165.5097126,164.7029962,166.3195611,0.411790669
China,Boys,1988,18,166.3341954,165.5551939,167.1138066,0.399837942
China,Boys,1988,19,167.5672191,166.822356,168.2962575,0.383598537
China,Boys,1989,5,106.047057,105.2165198,106.8974834,0.420509592
China,Boys,1989,6,112.0074594,111.2730323,112.7519472,0.374988304
China,Boys,1989,7,117.5969274,116.8793742,118.2993903,0.365221464
China,Boys,1989,8,122.9150087,122.2148928,123.6272799,0.365565183
China,Boys,1989,9,128.0923036,127.3817322,128.7970082,0.365480331
China,Boys,1989,10,133.2550175,132.5461956,133.9474617,0.362368527
China,Boys,1989,11,138.5886748,137.8872892,139.2784721,0.360255136
China,Boys,1989,12,144.6044591,143.8943477,145.2910597,0.361821263
China,Boys,1989,13,151.4698158,150.7475512,152.1611564,0.364532137
China,Boys,1989,14,157.7426062,157.0112147,158.454678,0.370373072
China,Boys,1989,15,161.992624,161.2476768,162.7220926,0.378690406
China,Boys,1989,16,164.4000832,163.6241238,165.142937,0.391641538
China,Boys,1989,17,165.5997227,164.8104281,166.3918035,0.400387204
China,Boys,1989,18,166.3844246,165.6120243,167.1473868,0.390665159
China,Boys,1989,19,167.5847591,166.8488645,168.3160233,0.3780419
China,Boys,1990,5,106.3143013,105.5090666,107.1293766,0.406709455
China,Boys,1990,6,112.2700216,111.5559168,112.9794455,0.35919138
China,Boys,1990,7,117.8639566,117.1803077,118.5440391,0.348724687
China,Boys,1990,8,123.1998919,122.5244511,123.8758849,0.349699109
China,Boys,1990,9,128.3773754,127.6938676,129.0524538,0.351897041
China,Boys,1990,10,133.5270074,132.8378126,134.2051619,0.350764469
China,Boys,1990,11,138.8511263,138.1706122,139.5224603,0.348089941
China,Boys,1990,12,144.8397881,144.1553457,145.5031353,0.350041199
China,Boys,1990,13,151.6804077,150.9913254,152.3430987,0.351419909
China,Boys,1990,14,157.9408239,157.2352983,158.6148989,0.353941721
China,Boys,1990,15,162.1794987,161.4697481,162.8665016,0.359963184
China,Boys,1990,16,164.5682347,163.8348352,165.2768048,0.372034216
China,Boys,1990,17,165.7308421,164.9818149,166.4742419,0.384855043
China,Boys,1990,18,166.4744348,165.7249247,167.2232177,0.379779132
China,Boys,1990,19,167.6349883,166.9079668,168.3580989,0.372340757
China,Boys,1991,5,106.6025719,105.8311932,107.4008617,0.394891308
China,Boys,1991,6,112.5372659,111.8667852,113.2160122,0.344272333
China,Boys,1991,7,118.1265188,117.4664658,118.7847028,0.333142182
China,Boys,1991,8,123.4669211,122.8136559,124.112453,0.333713114
China,Boys,1991,9,128.6622587,128.0062575,129.3084808,0.336592782
China,Boys,1991,10,133.8120793,133.1548146,134.4587877,0.33719685
China,Boys,1991,11,139.1231162,138.4609736,139.781756,0.33672761
China,Boys,1991,12,145.1022395,144.4349412,145.7584812,0.338310337
China,Boys,1991,13,151.9157366,151.2433385,152.5651802,0.340484333
China,Boys,1991,14,158.1514158,157.4798057,158.8003263,0.341115191
China,Boys,1991,15,162.3777164,161.7027495,163.031792,0.343213002
China,Boys,1991,16,164.7551094,164.069775,165.4247151,0.352986075
China,Boys,1991,17,165.8989937,165.1715039,166.6010393,0.365437993
China,Boys,1991,18,166.6055542,165.891917,167.3234892,0.365498538
China,Boys,1991,19,167.7249985,167.014667,168.4352002,0.36481262
China,Boys,1992,5,106.9056856,106.1413321,107.6862002,0.387964233
China,Boys,1992,6,112.8255366,112.1722095,113.474764,0.33151741
China,Boys,1992,7,118.3937631,117.7788582,119.0125367,0.318330653
China,Boys,1992,8,123.7294833,123.1014664,124.3459937,0.318749802
China,Boys,1992,9,128.9292879,128.3036625,129.5510557,0.321198063
China,Boys,1992,10,134.0969625,133.4656677,134.7059983,0.32242643
China,Boys,1992,11,139.408188,138.7784119,140.0359171,0.323282264
China,Boys,1992,12,145.3742294,144.7281309,146.0120666,0.327407877
China,Boys,1992,13,152.1781881,151.5353175,152.8139291,0.329514256
China,Boys,1992,14,158.3867448,157.7384577,159.0253329,0.330999687
China,Boys,1992,15,162.5883083,161.949912,163.2165681,0.330448205
China,Boys,1992,16,164.9533271,164.2814937,165.5921203,0.335959674
China,Boys,1992,17,166.0858684,165.3951315,166.7593741,0.346345894
China,Boys,1992,18,166.7737057,166.0983368,167.437692,0.347636282
China,Boys,1992,19,167.8561179,167.1733457,168.5533696,0.35549038
China,Boys,1993,5,107.226979,106.4772239,107.9970308,0.383128839
China,Boys,1993,6,113.1286503,112.4798529,113.769126,0.323445668
China,Boys,1993,7,118.6820338,118.0822461,119.277069,0.305904262
China,Boys,1993,8,123.9967276,123.4030833,124.5891581,0.304503969
China,Boys,1993,9,129.1918501,128.5910558,129.7797269,0.306897946
China,Boys,1993,10,134.3639918,133.7573199,134.9628289,0.307611088
China,Boys,1993,11,139.6930713,139.083247,140.2766853,0.309102504
China,Boys,1993,12,145.6593013,145.0385169,146.2667752,0.314365359
China,Boys,1993,13,152.450178,151.8176759,153.0652831,0.319083737
China,Boys,1993,14,158.6491962,158.0251174,159.2652185,0.320884096
China,Boys,1993,15,162.8236372,162.2067381,163.4388291,0.320725267
China,Boys,1993,16,165.163919,164.535006,165.7811244,0.323351116
China,Boys,1993,17,166.2840861,165.6225742,166.9172808,0.329615835
China,Boys,1993,18,166.9605805,166.3069211,167.5994897,0.330195719
China,Boys,1993,19,168.0242694,167.360008,168.7020452,0.343786902
China,Boys,1994,5,107.5561546,106.8065804,108.3129788,0.378472105
China,Boys,1994,6,113.4499437,112.8053634,114.0768967,0.317556275
China,Boys,1994,7,118.9851474,118.3940641,119.5647341,0.297632917
China,Boys,1994,8,124.2849983,123.7102895,124.8505362,0.292918204
China,Boys,1994,9,129.4590944,128.8901294,130.0225608,0.29326239
China,Boys,1994,10,134.626554,134.0418936,135.1919076,0.293891544
China,Boys,1994,11,139.9601005,139.3752684,140.5242673,0.294996118
China,Boys,1994,12,145.9441845,145.3576273,146.5175953,0.300977625
China,Boys,1994,13,152.7352498,152.1335272,153.3251447,0.306582064
China,Boys,1994,14,158.9211861,158.3176609,159.5200112,0.310975524
China,Boys,1994,15,163.0860887,162.4892955,163.6839543,0.311262499
China,Boys,1994,16,165.399248,164.7870427,166.0005945,0.313806347
China,Boys,1994,17,166.494678,165.8690084,167.1032772,0.317572195
China,Boys,1994,18,167.1587982,166.528501,167.7634622,0.315340396
China,Boys,1994,19,168.2111441,167.5550395,168.8755662,0.333607121
China,Boys,1995,5,107.8916221,107.1532636,108.6313139,0.373003881
China,Boys,1995,6,113.7791193,113.1532962,114.3910363,0.312314058
China,Boys,1995,7,119.3064408,118.7209391,119.8721721,0.291577203
China,Boys,1995,8,124.588112,124.0178851,125.1371955,0.285012295
China,Boys,1995,9,129.7473651,129.1884129,130.2981889,0.282583142
China,Boys,1995,10,134.8937982,134.343162,135.4468252,0.280728602
China,Boys,1995,11,140.2226627,139.6590108,140.7697169,0.281905916
China,Boys,1995,12,146.2112137,145.6438295,146.7612726,0.287818042
China,Boys,1995,13,153.0201331,152.4411883,153.583573,0.293969346
China,Boys,1995,14,159.206258,158.6256052,159.781314,0.299190114
China,Boys,1995,15,163.3580786,162.7864917,163.9347159,0.301976407
China,Boys,1995,16,165.6616994,165.0745458,166.2514114,0.304883271
China,Boys,1995,17,166.7300069,166.1298625,167.3354244,0.308395316
China,Boys,1995,18,167.3693901,166.7771242,167.9565777,0.305023253
China,Boys,1995,19,168.4093618,167.7648562,169.0457135,0.325214845
China,Boys,1996,5,108.2313281,107.515926,108.9476004,0.365444019
China,Boys,1996,6,114.1145867,113.5000057,114.7176611,0.306253645
China,Boys,1996,7,119.6356164,119.0609475,120.1975398,0.286544922
China,Boys,1996,8,124.9094054,124.3523093,125.4417508,0.279372629
China,Boys,1996,9,130.0504787,129.4970049,130.5865101,0.27532795
China,Boys,1996,10,135.1820689,134.6463521,135.7136041,0.270797736
China,Boys,1996,11,140.489907,139.9586905,141.0189161,0.269207738
China,Boys,1996,12,146.4737759,145.9317767,147.0062212,0.275599829
China,Boys,1996,13,153.2871623,152.738074,153.8344004,0.281687384
China,Boys,1996,14,159.4911412,158.9370725,160.0434315,0.287381121
China,Boys,1996,15,163.6431504,163.0848316,164.2015498,0.291096594
China,Boys,1996,16,165.9336893,165.3688919,166.4977173,0.296426582
China,Boys,1996,17,166.9924584,166.4125142,167.5814837,0.30015476
China,Boys,1996,18,167.604719,167.0153802,168.1839421,0.29762946
China,Boys,1996,19,168.6199537,167.9793709,169.2402764,0.319957509
China,Boys,1997,5,108.5692735,107.8754118,109.2701694,0.356268427
China,Boys,1997,6,114.4542927,113.8576345,115.0372556,0.297637721
China,Boys,1997,7,119.9710839,119.3984176,120.5135205,0.280807233
China,Boys,1997,8,125.238581,124.6868321,125.774761,0.275002816
China,Boys,1997,9,130.3717721,129.8400345,130.8928031,0.270389216
China,Boys,1997,10,135.4851826,134.9570186,135.9970407,0.264335463
China,Boys,1997,11,140.7781777,140.2591704,141.2952909,0.259935938
China,Boys,1997,12,146.7410202,146.2290675,147.257574,0.263770084
China,Boys,1997,13,153.5497245,153.0250157,154.0779308,0.27037067
China,Boys,1997,14,159.7581704,159.228988,160.2940881,0.275943304
China,Boys,1997,15,163.9280337,163.3861969,164.4668862,0.280164882
China,Boys,1997,16,166.2187611,165.6690642,166.7656696,0.286709312
China,Boys,1997,17,167.2644483,166.6962407,167.8413594,0.292779259
China,Boys,1997,18,167.8671704,167.293249,168.4296739,0.291564079
China,Boys,1997,19,168.8552827,168.2319963,169.4769346,0.318057938
China,Boys,1998,5,108.9075846,108.2216637,109.5870503,0.350369652
China,Boys,1998,6,114.7922382,114.2240988,115.3591285,0.287631873
China,Boys,1998,7,120.3107899,119.7667065,120.8431391,0.272456901
China,Boys,1998,8,125.5740484,125.0273838,126.0852306,0.270072799
China,Boys,1998,9,130.7009477,130.1674413,131.2123184,0.266861012
China,Boys,1998,10,135.806476,135.2866456,136.3100002,0.260178869
China,Boys,1998,11,141.0812913,140.5609995,141.5721079,0.254434427
China,Boys,1998,12,147.0292909,146.5235138,147.536795,0.255485999
China,Boys,1998,13,153.8169688,153.3172638,154.3269644,0.25977424
China,Boys,1998,14,160.0207326,159.5072339,160.550256,0.26561542
China,Boys,1998,15,164.1950629,163.6740566,164.7180152,0.269624176
China,Boys,1998,16,166.5036444,165.9624275,167.0472208,0.276866051
China,Boys,1998,17,167.5495201,167.0006191,168.0976053,0.284417954
China,Boys,1998,18,168.1391603,167.5723137,168.7087455,0.286163417
China,Boys,1998,19,169.1177341,168.4884197,169.7493497,0.31784433
China,Boys,1999,5,109.2300673,108.5564357,109.8993414,0.34613515
China,Boys,1999,6,115.1305493,114.5710303,115.692769,0.281067755
China,Boys,1999,7,120.6487353,120.1173161,121.1558971,0.262964967
China,Boys,1999,8,125.9137544,125.3905987,126.4160473,0.262747392
China,Boys,1999,9,131.0364152,130.505343,131.5332366,0.262891141
China,Boys,1999,10,136.1356516,135.614992,136.6301837,0.257508955
China,Boys,1999,11,141.4025847,140.8915037,141.893312,0.251083573
China,Boys,1999,12,147.3324045,146.8244681,147.8178465,0.251163857
China,Boys,1999,13,154.1052395,153.6078747,154.6116193,0.252839744
China,Boys,1999,14,160.2879769,159.8047052,160.8047812,0.25651406
China,Boys,1999,15,164.4576251,163.9520699,164.9794347,0.260447457
China,Boys,1999,16,166.7706736,166.2521767,167.3031519,0.26760604
China,Boys,1999,17,167.8344034,167.295132,168.3736722,0.2758742
China,Boys,1999,18,168.4242322,167.8715745,168.979255,0.279854658
China,Boys,1999,19,169.389724,168.7674212,170.0121809,0.316595683
China,Boys,2000,5,109.5203251,108.8438074,110.175638,0.341294327
China,Boys,2000,6,115.453032,114.9071304,116.0007423,0.27658566
China,Boys,2000,7,120.9870464,120.4665206,121.4879792,0.256852821
China,Boys,2000,8,126.2516999,125.7540842,126.7449276,0.254482494
China,Boys,2000,9,131.3761212,130.8693407,131.871121,0.256883479
China,Boys,2000,10,136.471119,135.9568729,136.9672747,0.254459575
China,Boys,2000,11,141.7317603,141.2325799,142.2151564,0.249263302
China,Boys,2000,12,147.6536979,147.1621936,148.1265787,0.248736014
China,Boys,2000,13,154.4083531,153.9039859,154.8903732,0.249722938
China,Boys,2000,14,160.5762476,160.0864853,161.072718,0.25099972
China,Boys,2000,15,164.7248694,164.2444585,165.2231403,0.252920739
China,Boys,2000,16,167.0332358,166.5269436,167.552848,0.259982428
China,Boys,2000,17,168.1014326,167.575404,168.6299523,0.268316533
China,Boys,2000,18,168.7091155,168.1686545,169.2434933,0.273378271
China,Boys,2000,19,169.6747959,169.0594447,170.2977118,0.314294554
China,Boys,2001,5,109.783182,109.1305828,110.4436328,0.337485506
China,Boys,2001,6,115.7432898,115.2031133,116.2762033,0.272562149
China,Boys,2001,7,121.3095292,120.8106907,121.7983758,0.253132808
China,Boys,2001,8,126.590011,126.1015267,127.0734224,0.249501822
China,Boys,2001,9,131.7140666,131.2209918,132.2021842,0.250160974
China,Boys,2001,10,136.810825,136.3112141,137.2967636,0.249802382
China,Boys,2001,11,142.0672278,141.5640745,142.5526625,0.247075434
China,Boys,2001,12,147.9828736,147.4869298,148.452778,0.247916102
China,Boys,2001,13,154.7296465,154.2354167,155.2108575,0.248309997
China,Boys,2001,14,160.8793612,160.3804856,161.3653723,0.249011037
China,Boys,2001,15,165.01314,164.5318815,165.5042998,0.248579633
China,Boys,2001,16,167.3004801,166.8048891,167.80313,0.254057157
China,Boys,2001,17,168.3639948,167.8507869,168.8757565,0.262598721
China,Boys,2001,18,168.9761447,168.4552313,169.5024767,0.267824779
China,Boys,2001,19,169.9596791,169.3559109,170.5748179,0.311945092
China,Boys,2002,5,110.0612234,109.415172,110.7243843,0.334552597
China,Boys,2002,6,116.0061466,115.4777753,116.5422525,0.270640793
China,Boys,2002,7,121.5997869,121.1019475,122.0846517,0.250821718
China,Boys,2002,8,126.9124937,126.4307465,127.388038,0.247143138
China,Boys,2002,9,132.0523777,131.5666795,132.5393022,0.246656152
China,Boys,2002,10,137.1487705,136.6659025,137.6255437,0.244833147
China,Boys,2002,11,142.4069338,141.9159217,142.8900851,0.243762382
China,Boys,2002,12,148.318341,147.8263886,148.8047097,0.246774281
China,Boys,2002,13,155.0588221,154.5672163,155.5327221,0.248694616
China,Boys,2002,14,161.2006547,160.7024991,161.6807732,0.248701409
China,Boys,2002,15,165.3162537,164.8240007,165.7985246,0.247613293
China,Boys,2002,16,167.5887508,167.0901102,168.0732892,0.250817679
China,Boys,2002,17,168.6312391,168.1220106,169.1317323,0.258130309
China,Boys,2002,18,169.2387069,168.7220083,169.7604111,0.26427676
China,Boys,2002,19,170.2267083,169.624674,170.837849,0.309152547
China,Boys,2003,5,110.378904,109.721504,111.0444075,0.334213745
China,Boys,2003,6,116.2841881,115.7562643,116.8174648,0.2698431
China,Boys,2003,7,121.8626438,121.3689929,122.358706,0.251437257
China,Boys,2003,8,127.2027515,126.71937,127.6819886,0.246767525
China,Boys,2003,9,132.3748605,131.8947608,132.8529644,0.245943066
China,Boys,2003,10,137.4870816,137.0115196,137.9638027,0.2430299
China,Boys,2003,11,142.7448792,142.2633437,143.2151075,0.240824439
China,Boys,2003,12,148.658047,148.1682624,149.1437862,0.2449361
China,Boys,2003,13,155.3942896,154.9015018,155.8799235,0.248913284
China,Boys,2003,14,161.5298303,161.0361444,162.0214838,0.250302717
China,Boys,2003,15,165.6375471,165.1502183,166.1260972,0.24854165
China,Boys,2003,16,167.8918644,167.3853394,168.372045,0.251007533
China,Boys,2003,17,168.9195098,168.4188148,169.4195369,0.256121844
China,Boys,2003,18,169.5059511,168.9911799,170.0169879,0.261479799
China,Boys,2003,19,170.4892705,169.8835632,171.0966765,0.308236997
China,Boys,2004,5,110.7588605,110.1014972,111.4181882,0.337395648
China,Boys,2004,6,116.6018687,116.0633435,117.1466851,0.271082486
China,Boys,2004,7,122.1406853,121.6460317,122.6313636,0.253208767
China,Boys,2004,8,127.4656083,126.9754616,127.942684,0.249779541
China,Boys,2004,9,132.6651182,132.1847289,133.1449877,0.247434304
China,Boys,2004,10,137.8095643,137.3330438,138.2911893,0.244126777
China,Boys,2004,11,143.0831903,142.6003585,143.5524556,0.240939979
China,Boys,2004,12,148.9959925,148.5068779,149.4770046,0.244094235
China,Boys,2004,13,155.7339956,155.2365307,156.2260399,0.248656511
China,Boys,2004,14,161.8652977,161.3716685,162.3573759,0.252059528
China,Boys,2004,15,165.9667227,165.4788284,166.4649099,0.251271715
China,Boys,2004,16,168.2131578,167.724031,168.7120314,0.253494437
China,Boys,2004,17,169.2226234,168.6990736,169.7263178,0.257895064
China,Boys,2004,18,169.7942218,169.2907667,170.3050058,0.261326632
China,Boys,2004,19,170.7565148,170.1472866,171.3479691,0.307954636
China,Boys,2005,5,111.2186475,110.5390525,111.8840839,0.343259973
China,Boys,2005,6,116.9818252,116.4303912,117.5246903,0.275283692
China,Boys,2005,7,122.4583659,121.9594795,122.9551872,0.256200965
China,Boys,2005,8,127.7436498,127.2530228,128.2272937,0.253814715
China,Boys,2005,9,132.9279751,132.4357912,133.4213794,0.252511013
China,Boys,2005,10,138.0998221,137.6115177,138.5792113,0.247395914
China,Boys,2005,11,143.4056731,142.9163429,143.881212,0.243941339
China,Boys,2005,12,149.3343036,148.8364251,149.8212611,0.246151634
China,Boys,2005,13,156.0719411,155.572251,156.5771901,0.249582922
China,Boys,2005,14,162.2050037,161.7080616,162.7146143,0.253375934
China,Boys,2005,15,166.3021902,165.8059837,166.8152509,0.254572769
China,Boys,2005,16,168.5423334,168.0409568,169.0597838,0.257635787
China,Boys,2005,17,169.5439168,169.0316086,170.0573437,0.262429242
China,Boys,2005,18,170.0973355,169.5764048,170.6079076,0.265664004
China,Boys,2005,19,171.0447855,170.4262254,171.6410298,0.310459011
China,Boys,2006,5,111.7146301,111.0258166,112.4072075,0.350143197
China,Boys,2006,6,117.4416122,116.8781756,117.9968231,0.28190374
China,Boys,2006,7,122.8383223,122.3299833,123.3477258,0.261389885
China,Boys,2006,8,128.0613304,127.5608262,128.5642827,0.258396723
China,Boys,2006,9,133.2060166,132.7032054,133.7030803,0.258404186
China,Boys,2006,10,138.3626789,137.8582973,138.8641348,0.25429063
China,Boys,2006,11,143.6959308,143.2026228,144.1794457,0.248883878
China,Boys,2006,12,149.6567863,149.1616263,150.1465016,0.250933382
China,Boys,2006,13,156.4102522,155.9103537,156.9194298,0.253360749
China,Boys,2006,14,162.5429492,162.0388257,163.0477718,0.255620898
China,Boys,2006,15,166.6418962,166.1393814,167.1608175,0.257322405
China,Boys,2006,16,168.8778009,168.3673847,169.4008871,0.262265561
China,Boys,2006,17,169.8730924,169.3473431,170.3951422,0.268576047
China,Boys,2006,18,170.4186289,169.8817012,170.9493842,0.272878118
China,Boys,2006,19,171.3478991,170.7153107,171.9610576,0.317731638
China,Boys,2007,5,112.1811597,111.4710962,112.888423,0.357952754
China,Boys,2007,6,117.9375947,117.3591545,118.5021516,0.290305366
China,Boys,2007,7,123.2981093,122.7685846,123.8230594,0.268578587
China,Boys,2007,8,128.4412869,127.921108,128.948599,0.264627184
China,Boys,2007,9,133.5236972,133.0014605,134.0303031,0.264430142
China,Boys,2007,10,138.6407204,138.1256018,139.1469816,0.261766908
China,Boys,2007,11,143.9587877,143.4621337,144.4647479,0.257336053
China,Boys,2007,12,149.947044,149.436594,150.450573,0.257291894
China,Boys,2007,13,156.7327349,156.2298805,157.2396443,0.259706463
China,Boys,2007,14,162.8812603,162.3647903,163.4050002,0.260651323
China,Boys,2007,15,166.9798416,166.472694,167.4917879,0.260413599
China,Boys,2007,16,169.2175069,168.7091305,169.7473368,0.266044107
China,Boys,2007,17,170.2085599,169.6762768,170.7549044,0.274298024
China,Boys,2007,18,170.7478045,170.1992734,171.2886642,0.281267671
China,Boys,2007,19,171.6691926,171.0183006,172.2984485,0.326942205
China,Boys,2008,5,112.5498753,111.8238169,113.2782367,0.364852234
China,Boys,2008,6,118.4041244,117.8001858,119.004957,0.300641753
China,Boys,2008,7,123.7940919,123.2458232,124.3384014,0.278115553
China,Boys,2008,8,128.9010739,128.3593741,129.4326331,0.272598342
China,Boys,2008,9,133.9036536,133.3730411,134.4273909,0.271823815
China,Boys,2008,10,138.958401,138.4236253,139.4739781,0.269200818
China,Boys,2008,11,144.2368291,143.7168243,144.7628702,0.266142418
China,Boys,2008,12,150.2099009,149.6953045,150.7402223,0.266848569
China,Boys,2008,13,157.0229926,156.5009364,157.543897,0.267324108
China,Boys,2008,14,163.203743,162.6855698,163.7353623,0.268247559
China,Boys,2008,15,167.3181527,166.7921457,167.8456055,0.266113923
China,Boys,2008,16,169.5554524,169.0404752,170.0871357,0.269460759
China,Boys,2008,17,170.5482659,170.0124022,171.1013448,0.278727924
China,Boys,2008,18,171.0832719,170.5233432,171.6505206,0.288394195
China,Boys,2008,19,171.9983682,171.3212272,172.6550962,0.33602776
China,Boys,2009,5,112.8197698,112.0831795,113.5710858,0.372621974
China,Boys,2009,6,118.7728399,118.1699256,119.3917913,0.310882732
China,Boys,2009,7,124.2606215,123.6864956,124.839785,0.29043968
China,Boys,2009,8,129.3970564,128.8366946,129.9468376,0.283243282
China,Boys,2009,9,134.3634406,133.8014362,134.9063928,0.280929807
China,Boys,2009,10,139.3383575,138.7917838,139.8811608,0.277892244
China,Boys,2009,11,144.5545098,144.0174277,145.0834658,0.274918678
China,Boys,2009,12,150.4879424,149.9468121,151.0337643,0.276664905
China,Boys,2009,13,157.2858495,156.7414701,157.8322555,0.277753653
China,Boys,2009,14,163.4940007,162.9581171,164.0386066,0.277143397
China,Boys,2009,15,167.6406354,167.1061437,168.1785299,0.274668143
China,Boys,2009,16,169.8937635,169.3651098,170.4300641,0.275345502
China,Boys,2009,17,170.8862113,170.3294435,171.4517044,0.282271499
China,Boys,2009,18,171.4229779,170.8504262,171.9991804,0.29406761
China,Boys,2009,19,172.3338356,171.6525695,172.9973973,0.344301999
China,Boys,2010,5,113.0046187,112.2555922,113.7756606,0.382199042
China,Boys,2010,6,119.0427345,118.4166802,119.6791472,0.322410859
China,Boys,2010,7,124.6293371,124.0403264,125.2200616,0.303485566
China,Boys,2010,8,129.8635861,129.2876814,130.4384249,0.297272784
China,Boys,2010,9,134.8594232,134.2809277,135.4304684,0.292853954
China,Boys,2010,10,139.7981445,139.2185552,140.3580152,0.288468813
China,Boys,2010,11,144.9344662,144.3710135,145.4874583,0.284907834
China,Boys,2010,12,150.805623,150.240985,151.3578226,0.286546054
China,Boys,2010,13,157.563891,157.000071,158.1264454,0.288532197
China,Boys,2010,14,163.7568576,163.1999377,164.3298571,0.288529521
China,Boys,2010,15,167.9308932,167.389687,168.4929924,0.285029693
China,Boys,2010,16,170.2162462,169.6720572,170.7706443,0.284676342
China,Boys,2010,17,171.2245224,170.6647608,171.7890331,0.288288259
China,Boys,2010,18,171.7609234,171.174771,172.3442448,0.298887804
China,Boys,2010,19,172.6735416,171.9765753,173.3590277,0.351809418
China,Boys,2011,5,113.1257293,112.355896,113.913506,0.395039144
China,Boys,2011,6,119.2275834,118.5811213,119.8872226,0.336033544
China,Boys,2011,7,124.8992317,124.2827207,125.5247778,0.31807796
China,Boys,2011,8,130.2323016,129.6253299,130.8503637,0.312644202
China,Boys,2011,9,135.3259528,134.7208607,135.9235446,0.308548665
China,Boys,2011,10,140.294127,139.6951231,140.8751704,0.30187432
China,Boys,2011,11,145.3942532,144.799157,145.9713522,0.297068242
China,Boys,2011,12,151.1855795,150.6007352,151.7661054,0.297654146
China,Boys,2011,13,157.8815716,157.2918485,158.4653984,0.29946129
China,Boys,2011,14,164.0348991,163.4553339,164.6241065,0.300336534
China,Boys,2011,15,168.1937501,167.6320695,168.7847431,0.297734818
